,Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
4564,2019.0,Regular Season,BMO Field,2019-03-17,TOR,3.0,2.0,NE,TOR
4565,2019.0,Regular Season,Nippert Stadium,2019-03-17,CIN,3.0,0.0,POR,CIN
4566,2019.0,Regular Season,Toyota Stadium,2019-03-23,DAL,2.0,1.0,COL,DAL
4567,2019.0,Regular Season,Red Bull Arena,2019-03-23,RBNY,0.0,1.0,ORL,ORL
4568,2019.0,Regular Season,Subaru Park,2019-03-23,PHI,3.0,0.0,CLB,PHI
4569,2019.0,Regular Season,Banc of California Stadium,2019-03-23,LAFC,2.0,1.0,RSL,LAFC
4570,2019.0,Regular Season,Gillette Stadium,2019-03-24,NE,0.0,2.0,CIN,CIN
4571,2019.0,Regular Season,BMO Field,2019-03-29,TOR,4.0,0.0,NYC,TOR
4572,2019.0,Regular Season,Rio Tinto Stadium,2019-03-30,RSL,2.0,4.0,DAL,DAL
4573,2019.0,Regular Season,Dick's Sporting Goods Park,2019-03-30,COL,1.0,4.0,HOU,HOU
4574,2019.0,Regular Season,Avaya Stadium,2019-03-30,SJ,0.0,5.0,LAFC,LAFC
4575,2019.0,Regular Season,SeatGeek Stadium,2019-03-30,CHI,1.0,0.0,RBNY,CHI
4576,2019.0,Regular Season,MAPFRE Stadium,2019-03-30,CLB,2.0,0.0,ATL,CLB
4577,2019.0,Regular Season,Gillette Stadium,2019-03-30,NE,2.0,1.0,MIN,NE
4578,2019.0,Regular Season,Nippert Stadium,2019-03-30,CIN,0.0,2.0,PHI,PHI
4579,2019.0,Regular Season,Children's Mercy Park,2019-03-30,SKC,7.0,1.0,MTL,SKC
4580,2019.0,Regular Season,Exploria Stadium,2019-03-31,ORL,1.0,2.0,DC,DC
4581,2019.0,Regular Season,Dignity Health Sports Park,2019-03-31,LA,2.0,1.0,POR,LA
4582,2019.0,Regular Season,BC Place,2019-04-05,VAN,0.0,2.0,LA,LA
4583,2019.0,Regular Season,Avaya Stadium,2019-04-06,SJ,3.0,0.0,POR,SJ
4584,2019.0,Regular Season,Subaru Park,2019-04-06,PHI,2.0,1.0,DAL,PHI
4585,2019.0,Regular Season,MAPFRE Stadium,2019-04-06,CLB,1.0,0.0,NE,CLB
4586,2019.0,Regular Season,Exploria Stadium,2019-04-06,ORL,4.0,3.0,COL,ORL
4587,2019.0,Regular Season,Red Bull Arena,2019-04-06,RBNY,1.0,2.0,MIN,MIN
4588,2019.0,Regular Season,CenturyLink Field,2019-04-06,SEA,1.0,0.0,RSL,SEA
4589,2019.0,Regular Season,Audi Field,2019-04-06,DC,0.0,4.0,LAFC,LAFC
4590,2019.0,Regular Season,Gillette Stadium,2019-04-13,NE,0.0,2.0,ATL,ATL
4591,2019.0,Regular Season,Saputo Stadium,2019-04-13,MTL,1.0,0.0,CLB,MTL
4592,2019.0,Regular Season,Rio Tinto Stadium,2019-04-13,RSL,2.0,1.0,ORL,RSL
4593,2019.0,Regular Season,Dignity Health Sports Park,2019-04-13,LAFC,2.0,0.0,CIN,LAFC
4594,2019.0,Regular Season,Dick's Sporting Goods Park,2019-04-13,COL,2.0,3.0,DC,DC
